,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
168,american journal of engineering and applied sciences,1941-7039,219.0,228.0,0.9605263157894736,0.177,2015
169,american journal of potato research,1874-9380,409.0,260.0,1.5730769230769233,0.32799999999999996,2015
170,american journal of translational research,1943-8141,875.0,252.0,3.4722222222222223,0.889,2015
171,amfiteatru economic,1582-9146,17.0,33.0,0.5151515151515151,0.081,2015
172,amfiteatru economic,2247-9104,17.0,33.0,0.5151515151515151,0.081,2015
173,amino acids,1438-2199,4997.0,1521.0,3.2853385930309007,0.8290000000000001,2015
174,anaerobe,1075-9964,1852.0,566.0,3.2720848056537104,0.825,2015
175,anais brasileiros de dermatologia,0365-0596,1375.0,981.0,1.4016309887869522,0.284,2015
176,anales de psicologia,0212-9728,639.0,478.0,1.3368200836820083,0.268,2015
178,anales del jardin botanico de madrid,0211-1322,53.0,64.0,0.828125,0.147,2015
179,analog integrated circuits and signal processing,1573-1979,789.0,796.0,0.9912060301507538,0.184,2015
180,analytical and bioanalytical chemistry,1618-2650,15798.0,4518.0,3.4966799468791496,0.897,2015
181,analytical cellular pathology,1878-3651,205.0,119.0,1.7226890756302522,0.368,2015
182,analytical cellular pathology,2210-7177,205.0,119.0,1.7226890756302522,0.368,2015
183,analytical sciences,1348-2246,1163.0,889.0,1.3082114735658044,0.26,2015
